[-747, 824, 479, -790, 289, -922, 387, 787, 694, 260]
[-397, -826, 214, 690, 702, -718, 883, 890, 893, 823]
[698, -121, 864, 134, 67, 965, 906, 382, 404, 169]
[551, 400, 939, -241, -995, 902, 629, 787, 778, -68]
[-180, 242, -854, -704, 361, -674, 6, -756, -867, 455]
[-439, 650, 462, 83, 591, 732, 216, 842, 641, 345]
[-535, -734, -70, 359, -674, 72, 801, 23, 883, 509]
[-163, -952, 851, 32, 929, -305, 448, -563, -790, 552]
[-967, -489, -352, -121, 82, 333, -422, 989, 87, -613]
[-158, 950, 544, -904, 776, -86, 384, -828, 594, -473]
[-336, 655, 581, -806, -224, 866, 860, -35, -83, 450]
[-321, -851, -943, 770, -194, -745, -751, 500, 781, 795]
[496, -52, 236, -393, -466, -716, -828, 766, -269, -813]
[-113, -451, 597, -254, 450, -754, -957, 7, -380, 981]
[627, 599, -302, -356, -699, -442, -129, 923, -594, -251]
[-148, -11, 720, -841, 98, 739, 330, -114, 503, -754]
[-784, -664, 25, 369, -359, 844, -355, -379, -916, 389]
[-944, -887, -817, 137, -664, -757, 577, 350, 81, -164]
[-414, 962, 713, 58, -951, 853, 445, -842, 895, 896]
[-36, -5, 602, -531, -289, 379, 2, 514, 419, 208]
[689, -808, -153, -804, -654, -996, 467, 747, -650, 926]
[-972, -278, 419, 309, 231, 234, -10, -326, -784, 941]
[-753, 903, 620, 762, -427, -629, 994, -605, 858, 169]
[-535, 528, -233, 413, 102, -334, -409, -708, -402, -503]
[41, -769, -363, -901, -227, -214, -936, -408, -492, -943]
[-621, -256, 617, -179, 39, 565, 499, 400, -303, 997]
[-913, -991, 279, 627, -612, 461, -777, -571, 110, 870]
[-419, -465, -440, 743, 94, 125, -693, -112, 17, -330]
[663, -327, 685, -792, -600, 308, -231, 85, -447, 949]
[463, -869, -970, 947, 621, 966, 205, 471, 731, -139]
[760, 342, -672, 485, 766, -241, -630, -277, -474, -616]
[-271, 106, 46, 801, -931, 918, 204, -593, 748, -559]
[737, -534, -579, -262, -718, 333, 774, 438, 897, 761]
[930, -825, -686, -1000, 407, 631, -888, 162, 767, -332]
[-619, 465, -154, -73, -181, 920, -963, 970, -640, 108]
[-473, -105, 52, 347, -79, 740, -7, -176, -130, 407]
[-947, -984, 676, 919, 695, 26, -909, -290, 353, -478]
[928, 307, 269, -774, 429, 667, 859, 57, -792, -316]
[976, 527, 915, 304, 879, -664, -17, -934, -49, -576]
